date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:59	50/50	---M-Z	200	added ('OK')	text/plain	etag:%22900739-1e-5581fe0eb808c%22	http://themes.rokaux.com/robots.txt		(from )
11:42:59	62347/62347	---M-Z	200	added ('OK')	text/html	etag:%22967568-f38b-59074332bda4c%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/index.html	(from )
11:42:59	1583/1583	---M--	200	added ('OK')	image/x-icon	etag:%225d5a5ee7-62f%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/favicon.ico	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/favicon.ico	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:00	2304/2304	---M--	200	added ('OK')	image/png	etag:%225d5a5ee7-900%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/favicon.png	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/favicon.png	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:00	4916/4916	---M--	200	added ('OK')	image/png	etag:%225d5a5ee8-1334%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-iphone.png	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-iphone.png	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:01	6641/6641	---M--	200	added ('OK')	image/png	etag:%225d5a5ee7-19f1%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-ipad.png	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-ipad.png	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:01	7803/7803	---M--	200	added ('OK')	image/png	etag:%225d5a5ee8-1e7b%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-iphone-retina.png	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-iphone-retina.png	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:01	7081/7081	---M--	200	added ('OK')	image/png	etag:%225d5a5ee7-1ba9%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-ipad-retina.png	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/touch-icon-ipad-retina.png	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:06	1900/1900	---M--	200	added ('OK')	text/css	etag:%225d5a5ef9-76c%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/customizer/customizer.min.css	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/customizer/customizer.min.css	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:06	145223/145223	---M--	200	added ('OK')	text/css	etag:%225d5a5ef8-23747%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/css/vendor.min.css	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/css/vendor.min.css	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:06	156500/156500	---M--	200	added ('OK')	text/css	etag:%225d5a5ef7-26354%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/css/styles.min.css	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/css/styles.min.css	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2015%20Dec%202020%2014:43:06%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Pablo/OneDrive/Site/SIte/www.googletagmanager.com/gtm.95445.delayed	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:07	8153/8153	---M--	200	added ('OK')	application/javascript	etag:%225d5a5f03-1fd9%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/js/modernizr.min.js	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/js/modernizr.min.js	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:08	62347/62347	---M-Z	200	added ('OK')	text/html	etag:%22967568-f38b-59074332bda4c%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/index.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/index-2.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:09	48869/48869	---M-Z	200	added ('OK')	text/html	etag:%22967549-bee5-5907432b9a921%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-orders.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-orders.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:09	8886/8886	---M--	200	added ('OK')	image/jpeg	etag:%225d5a5f1a-22b6%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/img/account/user-ava-md.jpg	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/img/account/user-ava-md.jpg	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:10	59619/59619	---M-Z	200	added ('OK')	text/html	etag:%22967567-e8e3-590743310eff5%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/home-featured-categories.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/home-featured-categories.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:10	58373/58373	---M-Z	200	added ('OK')	text/html	etag:%22967565-e405-5907433068fd1%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/home-collection-showcase.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/home-collection-showcase.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:11	62525/62525	---M-Z	200	added ('OK')	text/html	etag:%22967566-f43d-590743310eff5%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/home-dark-header.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/home-dark-header.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
